"selector","context","specificity","ownership","occurrenceCount","firstDefinition","laterOverrides","files","importantDeclarationCount","afterDocumentClose","runtimeReferenceCount","likelyObsoleteReview","movementRisk","movementRiskScore","movementRiskReasons"
"th","","0-0-1","Shared","10","DashboardBaseStyles.html:367","DashboardBaseStyles.html:674; DashboardBaseStyles.html:902; DashboardBaseStyles.html:1073; DashboardBaseStyles.html:1152; DashboardBaseStyles.html:1422; DashboardBaseStyles.html:1627; DashboardBaseStyles.html:1824; TatDashboardControllerScript.html:641; TatDashboardControllerScript.html:641","DashboardBaseStyles.html; TatDashboardControllerScript.html","14","true","0","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"body","","0-0-1","Shared","9","DashboardBaseStyles.html:28","DashboardBaseStyles.html:534; DashboardBaseStyles.html:820; DashboardBaseStyles.html:1107; DashboardBaseStyles.html:1207; DashboardBaseStyles.html:1480; DashboardBaseStyles.html:1673; TatDashboardControllerScript.html:641; Index.html:4682","DashboardBaseStyles.html; TatDashboardControllerScript.html; Index.html","11","true","0","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"td","","0-0-1","Shared","5","DashboardBaseStyles.html:384","DashboardBaseStyles.html:1435; DashboardBaseStyles.html:1635; DashboardBaseStyles.html:1832; TatDashboardControllerScript.html:641","DashboardBaseStyles.html; TatDashboardControllerScript.html","4","true","0","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 .remakeCacheActionBarV6338 .remakeButton","","1-2-0","Shared","4","UnifiedControlsStyles.html:87","TatRemakeAliasStyles.html:242; SharedTopParityStyles.html:217; SharedTopParityStyles.html:251","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","17","true","41","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 .remakeDropdownHeaderV6245","","1-1-0","Shared","4","UnifiedControlsStyles.html:65","TatRemakeAliasStyles.html:142; TatRemakeAliasStyles.html:1067; SharedTopParityStyles.html:141","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","32","true","12","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337","","1-0-0","Shared","3","Index.html:1439","UnifiedControlsStyles.html:3; SharedTopParityStyles.html:8","Index.html; UnifiedControlsStyles.html; SharedTopParityStyles.html","14","true","9","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 .remakeCacheActionBarV6338 .remakeButton","","1-2-0","Shared","3","Index.html:1653","SharedTopParityStyles.html:217; SharedTopParityStyles.html:251","Index.html; SharedTopParityStyles.html","17","true","43","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 .remakeDropdownHeaderV6245","","1-1-0","Shared","3","Index.html:1534","Index.html:3041; SharedTopParityStyles.html:141","Index.html; SharedTopParityStyles.html","22","true","14","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 .remakeDropdownHeaderV6245 button","","1-1-1","Shared","3","Index.html:1542","Index.html:3053; SharedTopParityStyles.html:180","Index.html; SharedTopParityStyles.html","18","true","14","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatDashboardPageV6509.cleanRemakeV6230 .tatKpisV6509","","1-2-0","Shared","3","TatRemakeAliasStyles.html:1363","Index.html:4632; SharedTopParityStyles.html:272","TatRemakeAliasStyles.html; Index.html; SharedTopParityStyles.html","16","true","597","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509","","1-0-0","Shared","3","UnifiedControlsStyles.html:3","TatRemakeAliasStyles.html:66; SharedTopParityStyles.html:8","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","14","true","7","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 .remakeDropdownHeaderV6245 button","","1-1-1","Shared","3","TatRemakeAliasStyles.html:149","TatRemakeAliasStyles.html:1077; SharedTopParityStyles.html:180","TatRemakeAliasStyles.html; SharedTopParityStyles.html","18","true","12","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"table","","0-0-1","Shared","3","DashboardBaseStyles.html:361","DashboardBaseStyles.html:1430; TatDashboardControllerScript.html:641","DashboardBaseStyles.html; TatDashboardControllerScript.html","2","true","0","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeCompactToolbarV6382 .remakeCompactToolV6382 svg","","1-1-1","Shared","2","Index.html:2785","TatRemakeAliasStyles.html:950","Index.html; TatRemakeAliasStyles.html","22","true","10","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 [data-filter-kind=""customer""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:56","SharedTopParityStyles.html:70","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","9","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 [data-filter-kind=""department""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:50","SharedTopParityStyles.html:64","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","9","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 [data-filter-kind=""product""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:52","SharedTopParityStyles.html:66","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","9","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 [data-filter-kind=""productGroup""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:54","SharedTopParityStyles.html:68","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","9","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 [data-filter-kind=""reason""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:58","SharedTopParityStyles.html:72","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","9","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 [data-filter-kind=""customer""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:56","SharedTopParityStyles.html:70","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","7","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 [data-filter-kind=""department""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:50","SharedTopParityStyles.html:64","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","7","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 [data-filter-kind=""product""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:52","SharedTopParityStyles.html:66","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","7","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 [data-filter-kind=""productGroup""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:54","SharedTopParityStyles.html:68","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","7","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#tatTabFilterHostV6509 [data-filter-kind=""reason""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:58","SharedTopParityStyles.html:72","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","7","false","High","14","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML; same selector appears in multiple at-rule contexts"
"#remakeTabFilterHostV6337 .remakeDropdownButtonV6245.active","","1-2-0","Shared","4","Index.html:1506","Index.html:1511; SharedTopParityStyles.html:108; SharedTopParityStyles.html:115","Index.html; SharedTopParityStyles.html","6","true","620","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownButtonV6245.active","","1-2-0","Shared","4","TatRemakeAliasStyles.html:120","TatRemakeAliasStyles.html:124; SharedTopParityStyles.html:108; SharedTopParityStyles.html:115","TatRemakeAliasStyles.html; SharedTopParityStyles.html","6","true","618","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownCountV6245","","1-1-0","Shared","4","UnifiedControlsStyles.html:77","TatRemakeAliasStyles.html:158; TatRemakeAliasStyles.html:1081; SharedTopParityStyles.html:184","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","30","true","11","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownPanelV6245","","1-1-0","Shared","4","UnifiedControlsStyles.html:60","TatRemakeAliasStyles.html:126; SharedTopParityStyles.html:121; Index.html:4685","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html; Index.html","15","true","16","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownPanelV6245.open","","1-2-0","Shared","4","UnifiedControlsStyles.html:64","TatRemakeAliasStyles.html:142; SharedTopParityStyles.html:138; Index.html:4695","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html; Index.html","9","true","328","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeTabToolButtonV6337","","1-1-0","Shared","4","UnifiedControlsStyles.html:79","TatRemakeAliasStyles.html:217; SharedTopParityStyles.html:217; SharedTopParityStyles.html:233","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","15","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownCountV6245","","1-1-0","Shared","3","Index.html:1552","Index.html:3059; SharedTopParityStyles.html:184","Index.html; SharedTopParityStyles.html","21","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeFilter","","1-1-0","Shared","3","Index.html:1471","UnifiedControlsStyles.html:33; SharedTopParityStyles.html:44","Index.html; UnifiedControlsStyles.html; SharedTopParityStyles.html","35","true","54","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeFilterBarV6230","","1-1-0","Shared","3","Index.html:1458","UnifiedControlsStyles.html:20; SharedTopParityStyles.html:28","Index.html; UnifiedControlsStyles.html; SharedTopParityStyles.html","33","true","21","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeTabToolButtonV6337","","1-1-0","Shared","3","Index.html:1622","SharedTopParityStyles.html:217; SharedTopParityStyles.html:233","Index.html; SharedTopParityStyles.html","15","true","15","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 .tatKpiStageV6509","","1-2-0","Shared","3","TatRemakeAliasStyles.html:1362","Index.html:4631; SharedTopParityStyles.html:259","TatRemakeAliasStyles.html; Index.html; SharedTopParityStyles.html","17","true","595","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeCacheActionBarV6338","","1-1-0","Shared","3","UnifiedControlsStyles.html:86","TatRemakeAliasStyles.html:236; SharedTopParityStyles.html:249","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","6","true","14","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeCacheActionBarV6338 .remakeButton.secondary","","1-3-0","Shared","3","UnifiedControlsStyles.html:88","TatRemakeAliasStyles.html:258; SharedTopParityStyles.html:253","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","3","true","48","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownEmptyV6245","","1-1-0","Shared","3","UnifiedControlsStyles.html:78","TatRemakeAliasStyles.html:213; SharedTopParityStyles.html:214","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","9","true","12","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownListV6245","","1-1-0","Shared","3","TatRemakeAliasStyles.html:176","SharedTopParityStyles.html:194; Index.html:4696","TatRemakeAliasStyles.html; SharedTopParityStyles.html; Index.html","17","true","11","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownSearchV6245","","1-1-0","Shared","3","TatRemakeAliasStyles.html:163","SharedTopParityStyles.html:188; Index.html:4697","TatRemakeAliasStyles.html; SharedTopParityStyles.html; Index.html","21","true","12","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeFilter","","1-1-0","Shared","3","UnifiedControlsStyles.html:33","TatRemakeAliasStyles.html:90; SharedTopParityStyles.html:44","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","35","true","52","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeFilterBarV6230","","1-1-0","Shared","3","UnifiedControlsStyles.html:20","TatRemakeAliasStyles.html:78; SharedTopParityStyles.html:28","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","33","true","19","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeTabResetV6337","","1-1-0","Shared","3","UnifiedControlsStyles.html:85","TatRemakeAliasStyles.html:236; SharedTopParityStyles.html:247","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","1","true","11","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeTabSearchProxyV6337","","1-1-0","Shared","3","UnifiedControlsStyles.html:82","TatRemakeAliasStyles.html:236; SharedTopParityStyles.html:241","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","3","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeTabSearchProxyV6337 svg","","1-1-1","Shared","3","UnifiedControlsStyles.html:83","TatRemakeAliasStyles.html:236; SharedTopParityStyles.html:243","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","7","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeTabToolButtonV6337:hover","","1-2-0","Shared","3","UnifiedControlsStyles.html:80","TatRemakeAliasStyles.html:231; SharedTopParityStyles.html:237","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","3","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeTabToolButtonV6337[aria-expanded=""true""]","","1-2-0","Shared","3","UnifiedControlsStyles.html:80","TatRemakeAliasStyles.html:231; SharedTopParityStyles.html:237","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","3","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509[hidden]","","1-1-0","Shared","3","UnifiedControlsStyles.html:17","TatRemakeAliasStyles.html:66; SharedTopParityStyles.html:25","UnifiedControlsStyles.html; TatRemakeAliasStyles.html; SharedTopParityStyles.html","3","true","7","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeCacheActionBarV6338","","1-1-0","Shared","2","Index.html:1646","SharedTopParityStyles.html:249","Index.html; SharedTopParityStyles.html","6","true","16","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeCacheActionBarV6338 .remakeButton.secondary","","1-3-0","Shared","2","Index.html:1670","SharedTopParityStyles.html:253","Index.html; SharedTopParityStyles.html","3","true","50","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeCacheActionIconV6338","","1-1-0","Shared","2","Index.html:1677","SharedTopParityStyles.html:255","Index.html; SharedTopParityStyles.html","1","true","14","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownButtonV6245::after","","1-1-1","Shared","2","Index.html:1497","SharedTopParityStyles.html:98","Index.html; SharedTopParityStyles.html","7","true","21","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownButtonV6245:hover","","1-2-0","Shared","2","Index.html:1506","SharedTopParityStyles.html:108","Index.html; SharedTopParityStyles.html","4","true","21","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownEmptyV6245","","1-1-0","Shared","2","Index.html:1617","SharedTopParityStyles.html:214","Index.html; SharedTopParityStyles.html","6","true","14","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownLabelV6245","","1-1-0","Shared","2","Index.html:1596","SharedTopParityStyles.html:208","Index.html; SharedTopParityStyles.html","10","true","12","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownListV6245","","1-1-0","Shared","2","Index.html:1573","SharedTopParityStyles.html:194","Index.html; SharedTopParityStyles.html","11","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownMetaV6245","","1-1-0","Shared","2","Index.html:1603","SharedTopParityStyles.html:210","Index.html; SharedTopParityStyles.html","6","true","10","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownOnlyV6245","","1-1-0","Shared","2","Index.html:1608","SharedTopParityStyles.html:212","Index.html; SharedTopParityStyles.html","14","true","12","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownPanelV6245","","1-1-0","Shared","2","Index.html:1514","SharedTopParityStyles.html:121","Index.html; SharedTopParityStyles.html","11","true","18","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownPanelV6245.open","","1-2-0","Shared","2","Index.html:1533","SharedTopParityStyles.html:138","Index.html; SharedTopParityStyles.html","3","true","330","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownRowV6245","","1-1-0","Shared","2","Index.html:1578","SharedTopParityStyles.html:198","Index.html; SharedTopParityStyles.html","16","true","16","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownRowV6245 input","","1-1-1","Shared","2","Index.html:1590","SharedTopParityStyles.html:206","Index.html; SharedTopParityStyles.html","8","true","16","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownRowV6245:hover","","1-2-0","Shared","2","Index.html:1588","SharedTopParityStyles.html:202","Index.html; SharedTopParityStyles.html","2","true","16","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownRowV6245.active","","1-2-0","Shared","2","Index.html:1588","SharedTopParityStyles.html:202","Index.html; SharedTopParityStyles.html","2","true","615","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownSearchV6245","","1-1-0","Shared","2","Index.html:1558","SharedTopParityStyles.html:188","Index.html; SharedTopParityStyles.html","20","true","14","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeDropdownSearchV6245:focus","","1-2-0","Shared","2","Index.html:1569","SharedTopParityStyles.html:192","Index.html; SharedTopParityStyles.html","4","true","14","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeTabResetV6337","","1-1-0","Shared","2","Index.html:1645","SharedTopParityStyles.html:247","Index.html; SharedTopParityStyles.html","1","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeTabSearchProxyV6337","","1-1-0","Shared","2","Index.html:1643","SharedTopParityStyles.html:241","Index.html; SharedTopParityStyles.html","3","true","15","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeTabSearchProxyV6337 svg","","1-1-1","Shared","2","Index.html:1644","SharedTopParityStyles.html:243","Index.html; SharedTopParityStyles.html","7","true","15","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeTabToolButtonV6337:hover","","1-2-0","Shared","2","Index.html:1637","SharedTopParityStyles.html:237","Index.html; SharedTopParityStyles.html","3","true","15","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeTabToolButtonV6337[aria-expanded=""true""]","","1-2-0","Shared","2","Index.html:1637","SharedTopParityStyles.html:237","Index.html; SharedTopParityStyles.html","3","true","15","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeVisibleToggleV6502:has(input:checked)","","1-2-1","Shared","2","Index.html:300","SharedTopParityStyles.html:174","Index.html; SharedTopParityStyles.html","6","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 .remakeVisibleToggleV6502:has(input:indeterminate)","","1-2-1","Shared","2","Index.html:300","SharedTopParityStyles.html:174","Index.html; SharedTopParityStyles.html","6","true","13","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 [data-filter-kind=""year""]","","1-1-0","Shared","2","UnifiedControlsStyles.html:48","SharedTopParityStyles.html:62","UnifiedControlsStyles.html; SharedTopParityStyles.html","1","true","9","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 [data-filter-kind=""year""] .remakeDropdownPanelV6245","","1-2-0","Shared","2","Index.html:1530","SharedTopParityStyles.html:136","Index.html; SharedTopParityStyles.html","2","true","18","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337 #remakeTabViewsV6382 svg","","2-0-1","Shared","2","Index.html:2785","SharedTopParityStyles.html:243","Index.html; SharedTopParityStyles.html","18","true","16","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#remakeTabFilterHostV6337[hidden]","","1-1-0","Shared","2","Index.html:1438","SharedTopParityStyles.html:25","Index.html; SharedTopParityStyles.html","2","true","9","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509","","1-0-0","Shared","2","UnifiedControlsStyles.html:121","Index.html:4684","UnifiedControlsStyles.html; Index.html","3","true","8","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 .tatKpiV6509","","1-2-0","Shared","2","Index.html:4633","SharedTopParityStyles.html:284","Index.html; SharedTopParityStyles.html","10","true","601","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeCacheActionIconV6338","","1-1-0","Shared","2","TatRemakeAliasStyles.html:262","SharedTopParityStyles.html:255","TatRemakeAliasStyles.html; SharedTopParityStyles.html","1","true","12","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownButtonV6245::after","","1-1-1","Shared","2","TatRemakeAliasStyles.html:112","SharedTopParityStyles.html:98","TatRemakeAliasStyles.html; SharedTopParityStyles.html","7","true","19","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatTabFilterHostV6509 .remakeDropdownButtonV6245:hover","","1-2-0","Shared","2","TatRemakeAliasStyles.html:120","SharedTopParityStyles.html:108","TatRemakeAliasStyles.html; SharedTopParityStyles.html","4","true","19","false","High","13","repeated selector; cross-file cascade; uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
