"selector","context","specificity","ownership","occurrenceCount","firstDefinition","laterOverrides","files","importantDeclarationCount","afterDocumentClose","runtimeReferenceCount","likelyObsoleteReview","movementRisk","movementRiskScore","movementRiskReasons"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistCardV6342 .ceramistPreviewMetaV6342","","2-2-0","Shared","1","TatRemakeAliasStyles.html:515","","TatRemakeAliasStyles.html","1","true","610","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistCardV6342 .ceramistTopControlsV6351","","2-2-0","Shared","1","TatRemakeAliasStyles.html:517","","TatRemakeAliasStyles.html","1","true","629","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistCardV6342.remakeSectionCollapsedV6402","","2-2-0","Shared","1","TatRemakeAliasStyles.html:1185","","TatRemakeAliasStyles.html","3","true","604","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 tbody tr.ceramistDetailClickableV6368:nth-child(even):hover td","","2-4-3","Shared","1","TatRemakeAliasStyles.html:587","","TatRemakeAliasStyles.html","1","true","613","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 tbody tr.ceramistDetailClickableV6368:nth-child(odd):hover td","","2-4-3","Shared","1","TatRemakeAliasStyles.html:585","","TatRemakeAliasStyles.html","1","true","613","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 tbody tr.ceramistDetailSelectedV6368 td","","2-2-3","Shared","1","TatRemakeAliasStyles.html:602","","TatRemakeAliasStyles.html","2","true","608","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 td","","2-1-1","Shared","1","TatRemakeAliasStyles.html:279","","TatRemakeAliasStyles.html","7","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 td:nth-child(1)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:296","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 td:nth-child(2)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:297","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 td:nth-child(3)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:298","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 td:nth-child(4)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:299","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 td:nth-child(5)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:300","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 th","","2-1-1","Shared","1","TatRemakeAliasStyles.html:279","","TatRemakeAliasStyles.html","7","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 th:nth-child(1)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:296","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 th:nth-child(2)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:297","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 th:nth-child(3)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:298","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 th:nth-child(4)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:299","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistDetailTableV6343 th:nth-child(5)","","2-2-1","Shared","1","TatRemakeAliasStyles.html:300","","TatRemakeAliasStyles.html","2","true","607","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistTableV6342 tbody tr.ceramistPinnedWorkerV6361 > td:first-child","@media (min-width:761px)","2-3-3","Shared","1","TatRemakeAliasStyles.html:493","","TatRemakeAliasStyles.html","3","true","616","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistTableV6342 tbody tr.ceramistSectionRowV6348:nth-child(even) > td","","2-3-3","Shared","1","TatRemakeAliasStyles.html:473","","TatRemakeAliasStyles.html","1","true","618","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistTableV6342 tbody tr.ceramistSectionRowV6348:nth-child(odd) > td","","2-3-3","Shared","1","TatRemakeAliasStyles.html:473","","TatRemakeAliasStyles.html","1","true","618","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistTableV6342 tbody tr.ceramistSelectedV6343 td","","2-2-3","Shared","1","TatRemakeAliasStyles.html:351","","TatRemakeAliasStyles.html","2","true","621","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistTableV6342 td","","2-1-1","Shared","1","TatRemakeAliasStyles.html:279","","TatRemakeAliasStyles.html","7","true","615","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistTableV6342 th","","2-1-1","Shared","1","TatRemakeAliasStyles.html:279","","TatRemakeAliasStyles.html","7","true","615","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCeramistTableV6342 thead th:first-child","@media (min-width:761px)","2-2-2","Shared","1","TatRemakeAliasStyles.html:484","","TatRemakeAliasStyles.html","1","true","615","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerCardV6230.remakeSectionCollapsedV6402","","2-2-0","Shared","1","TatRemakeAliasStyles.html:1185","","TatRemakeAliasStyles.html","3","true","606","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
"#tatDashboardPageV6509.cleanRemakeV6230 #remakeCustomerTable:not(.compareColumnsV6301) td","@media(min-width:981px)","2-2-1","Shared","1","TatRemakeAliasStyles.html:363","","TatRemakeAliasStyles.html","2","true","903","false","High","8","uses !important; shared or cross-dashboard ownership; loaded after closing HTML"
